,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
7c7ae81b-a9ba-4a54-9f91-0ca5e5250b34,-0.16596101478291025,-0.24741583909366346,-0.16678976503822499,-0.248445628495665,-0.17105984435033658,-0.254690109962354,0.1689296485198483,0.25154757933211735,-1,FV,,cosine,0,1715625426.551992,
6310d8de-4dc3-40da-87f0-2bc7fd0a2e4f,0.08083038779750525,0.11791043009431215,0.07079176726175448,0.10342471281789539,0.07668046170595451,0.11187483864505825,-0.07452226043853828,-0.10881118430059483,-1,NC,1,euclidean,0,1715625456.949899,
1ff2dbe8-0b34-49f3-b72a-b5b65df3bb6a,0.15630199645172502,0.23160971813087647,0.12688513231978596,0.18906162010431776,0.14312651837689844,0.21277949994634834,-0.1379213576526196,-0.20535964352806074,-1,NC,100,euclidean,0,1715625456.949899,
74263069-28ba-4af2-9895-0201bf393506,-0.07515273481319419,-0.1113383115720675,-0.044481659286344635,-0.06593094249425424,-0.06102615848265095,-0.09040645937911629,0.05582547706233162,0.08277607374621727,-1,AvgDist,1,euclidean,0,1715625456.949899,0
dfd78964-10f0-41f7-8926-6e0b4a917fce,-0.07569995573356172,-0.11180515206145565,-0.04163533727339064,-0.06154706498756381,-0.05931455162211244,-0.08762912951122948,0.05379047733649837,0.07956769814379289,-1,AvgDist,1,euclidean,0,1715625456.949899,1
7000f91a-8dc5-42b3-974b-6cc0fb3a854c,-0.08291390465669102,-0.12277997728569322,-0.051684216174250286,-0.07645281199796851,-0.0690400350499111,-0.1021233899881358,0.06389335955889389,0.09447822751931724,-1,AvgDist,1,euclidean,0,1715625456.949899,2
53eb1938-9e2d-4bc2-abbf-581d6a3817b1,-0.09533653176711883,-0.14126948824674723,-0.06346657808179304,-0.09406178543769719,-0.08087416278237008,-0.11977040551053096,0.07533568788256981,0.11158018352416191,-1,AvgDist,1,euclidean,0,1715625456.949899,3
70566df8-3f14-4739-9944-9b39e830afef,-0.08495585172678546,-0.12617019510889366,-0.05633162330202311,-0.08381937953072004,-0.07177525116241476,-0.10670840251116641,0.06687660036659149,0.09946425583031202,-1,AvgDist,1,euclidean,0,1715625456.949899,4
3f135cee-a9ad-4fea-a613-c9db8cc88f31,-0.08623196389206227,-0.12782991992750295,-0.05627336027890199,-0.08334249196117555,-0.07298323583956202,-0.10801749621195221,0.06802041836673844,0.10070807687433175,-1,AvgDist,1,euclidean,0,1715625456.949899,5
6c258989-d4eb-427a-a301-039271cce260,-0.09716847725310694,-0.14436691773676427,-0.0655289059963819,-0.0975845733157008,-0.08259473681857778,-0.12282024029994008,0.07720867708153145,0.11483455820158016,-1,AvgDist,1,euclidean,0,1715625456.949899,6
c3637335-0d8c-4e2a-9e77-24b1977fbb0b,-0.08732685626387988,-0.12940725372294273,-0.0515413475355054,-0.0766142653183484,-0.0705454535926336,-0.10467454971553815,0.0648433218398826,0.09624413513252585,-1,AvgDist,1,euclidean,0,1715625456.949899,7
