,pred_entropy-tau,pred_entropy-spearman,brier-tau,brier-spearman,pred_err-tau,pred_err-spearman,log_pred_prob-tau,log_pred_prob-spearman,i_model,method,k,dist,seed,timestamp,i_ens
353524ac-b62e-4914-9b2a-405b6281eab5,0.014520173178931759,0.02227571965329181,0.009849465734530721,0.01558990035027316,0.010461446981613928,0.016316962663561235,-0.010391279959298335,-0.01624094469679923,-1,AvgDist,1,cosine,4,1715627303.976295,8
466b0846-d285-4144-9602-57e26bf1c1bd,0.04507419012346376,0.06721752633738518,0.039698852267157865,0.05934000243046814,0.04148711120034671,0.06197640817487966,-0.04122564503804252,-0.06162136503532283,-1,AvgDist,1,cosine,4,1715627303.976295,9
621a130d-d359-4f89-bc6f-8fe7f39c3e0c,0.06318390407695913,0.09451806748773264,0.05270213495668788,0.07924865661262627,0.05666053115256313,0.08506516720894843,-0.055613226327823215,-0.08357937148605035,-1,ens-AvgDist,1,cosine,4,1715627303.976295,
dce6bbb0-74d4-4ffb-92dc-18026b923daf,-0.1342340581715639,-0.2016627563832824,-0.13832034724996353,-0.20657640482058104,-0.14046720217160977,-0.2100442753993742,0.13911922722583792,0.20790522094591307,-1,AvgDist,100,cosine,4,1715627303.976295,0
faa6c688-ee5d-4ceb-91b9-8d57fe3ef3b5,-0.17062149750568556,-0.2545218172520902,-0.1586781420952425,-0.23626563127703548,-0.168698505033369,-0.25123257204510896,0.16464873969235602,0.24523172740693852,-1,AvgDist,100,cosine,4,1715627303.976295,1
556f7eca-7423-4d64-8419-62ce0f137a1d,-0.07761010954806706,-0.11609588005878996,-0.09756522725490074,-0.14562880973109382,-0.08982301218174973,-0.13426640409309482,0.09160711078786121,0.1367669996201833,-1,AvgDist,100,cosine,4,1715627303.976295,2
98bde546-e3c7-4109-b5bd-03ce9844079c,-0.16201447602890595,-0.24211618209969893,-0.1571684309882578,-0.23441484594447765,-0.1637067254061461,-0.24418149748840787,0.1609867731661264,0.24014928052397683,-1,AvgDist,100,cosine,4,1715627303.976295,3
3b4559c8-f5e8-4f8b-b978-7c8733b3515d,-0.14887034489893175,-0.22293180414534358,-0.14284666180778066,-0.21248415444249097,-0.1509506331773942,-0.22497425302984161,0.14796277403293664,0.22035071249743976,-1,AvgDist,100,cosine,4,1715627303.976295,4
3bfa3ab5-6b23-4c0f-b640-2e636c0370e1,-0.12698477244556985,-0.19058230535211226,-0.13653984900428418,-0.20399374912266927,-0.13506706156353346,-0.2020662243653304,0.13476303112704646,0.20149341074358337,-1,AvgDist,100,cosine,4,1715627303.976295,5
def240ab-3e3c-426f-a350-84c7cbb11438,-0.14011400681322242,-0.20850907298797153,-0.13058225258930703,-0.1935502176818893,-0.1393877741100665,-0.20688359891366312,0.1361590508825842,0.20196928592235783,-1,AvgDist,100,cosine,4,1715627303.976295,6
86a87b28-182d-43b0-9930-4e2c7cf6e82f,-0.1550492188763175,-0.23010859697129887,-0.1460526784125825,-0.21626811497652038,-0.15469474339686676,-0.2291366795035535,0.151130466648407,0.22391755929122137,-1,AvgDist,100,cosine,4,1715627303.976295,7
